id,word_en,word_ml,count
1,hncg,नाही,1945372
2,dn,का,1864428
3,dnq,काय,1441805
4,ncu,आहे,1305147
5,yg,मी,1179856
6,nncu,आहे,1138794
7,fj,तू,958686
8,hn,ना,913145
9,cs,हो,901778
10,ynan,मला,705566
11,rnh,पण,692827
12,an,ला,684103
13,fjan,तुला,620968
14,fu,ते,449060
15,rh,पण,446238
16,yv,मग,416643
17,nhg,आणि,391967
18,dncg,काही,364910
19,dq,काय,364210
20,fnt,तर,362840
21,nfn,आता,362375
22,osa,बोल,362121
23,dcjr,खूप,345168
24,cu,हे,326545
25,ft,तर,321917
26,yan,मला,317824
27,nnfn,आता,312666
28,dg,कि,310393
29,ynv,मग,307910
30,nnk,आज,294484
31,fs,तो,289295
32,pc,च,288563
33,yu,मी,276637
34,cn,हा,268464
35,djfcu,कुठे,263447
36,fjycg,तुम्ही,260844
37,hcg,नाही,260484
38,ina,झालं,256189
39,tu,रे,252408
40,dg,की,248457
41,ocnj,भाऊ,230252
42,pcn,चा,229602
43,jmqn,उद्या,225336
44,znhv,सांग,223159
45,nnhg,आणि,222566
46,h,न,220652
47,dsh,कोण,220062
48,ud,एक,219514
49,ntu,अरे,217868
50,pnaa,कॉल,212827
51,qu,ये,208130
52,nz,असं,202759
53,qn,या,198406
54,v,ग,195695
55,dnt,कर,193773
56,dgfg,किती,190309
57,csf,होत,190279
58,dnmcg,कधी,190145
59,vcntg,घरी,188376
60,fg,ती,184308
61,csfn,होता,183673
62,nzua,असेल,181159
63,hds,नको,180714
64,ycnhjh,म्हणून,180309
65,dny,काम,179930
66,ynmcu,मध्ये,179114
67,nkjh,अजून,173135
68,hnds,नको,168719
69,duan,केला,167742
70,hnq,नाय,164362
71,cntmgd,हार्दिक,160688
72,ot,बर,159388
73,mu,दे,159285
74,lnt,वर,158354
75,dntj,करू,156809
76,yncgf,माहित,155293
77,fntg,तरी,153936
78,rcsfs,फोटो,149228
79,kulnh,जेवण,147104
80,ncuf,आहेत,145640
81,pcnh,छान,144597
82,csfu,होते,144142
83,pcg,ची,142978
84,knq,जय,142580
85,fqn,त्या,141779
86,fj,तु,141592
87,isr,झोप,140111
88,ont,बर,136993
89,cng,है,136820
90,yniqn,माझ्या,134273
91,kn,जा,133336
92,ynin,माझा,132856
93,csfg,होती,130522
94,osaj,बोलू,129506
95,nncuf,आहेत,128577
96,osan,बोला,126159
97,pcu,चे,122023
98,quf,येत,120456
99,csfs,होतो,119528
100,quhnt,येणार,119331
101,rncgku,पाहिजे,119294
102,inau,झाले,119131
103,pcqn,च्या,119128
104,fjiqn,तुझ्या,118111
105,sd,ओके,116412
106,fjycnan,तुम्हाला,115191
107,dntjh,करून,114643
108,lua,वेळ,114427
109,fjin,तुझा,112230
110,f,त,111060
111,znfcg,साठी,110955
112,ynzf,मस्त,110554
113,sdu,ओके,110170
114,rcsh,फोन,110075
115,lgpcnt,विचार,108181
116,zgt,सर,106736
117,dntfs,करतो,105646
118,mcnhqnlnm,धन्यवाद,105621
119,l,व,104183
120,zsttq,सॉरी,104180
121,fcgd,ठीक,104070
122,bndf,फक्त,103114
123,tnftg,रात्री,102905
124,fqnan,त्याला,102007
125,dt,कर,100759
126,mnmn,दादा,100674
127,ncuz,आहेस,99490
128,zcjocupcn,शुभेच्छा,99372
129,cg,ही,99105
130,lnfnf,वाटत,97793
131,vssm,गुड,96459
132,zncuo,साहेब,96346
133,cg,हि,96124
134,fgan,तिला,95944
135,pcnaj,चालू,95221
136,hu,ने,93807
137,dua,केल,92012
138,ynig,माझी,91781
139,dqn,क्या,91512
140,nk,आज,88561
141,hncg,नही,87475
142,dntn,करा,86066
143,rtuy,प्रेम,85997
144,zntl,सर्व,85459
145,inag,झाली,85373
146,nng,आई,85297
147,ftg,तरी,85213
148,dcjr,खुप,85148
149,fcnhdz,थँक्स,84704
150,lnmcmglznpcqn,वाढदिवसाच्या,84675
151,knzf,जास्त,84418
152,mglnz,दिवस,84033
153,dshg,कोणी,83706
154,ocng,भाई,83503
155,ontsont,बरोबर,81907
156,nan,आला,80107
157,ycnhku,म्हणजे,79506
158,vcu,घे,79230
159,inan,झाला,78984
160,vcujh,घेऊन,78619
161,zndnag,सकाळी,76456
162,dna,काल,76291
163,nffn,आत्ता,75897
164,knj,जाऊ,75522
165,dnmu,कडे,75430
166,zsonf,सोबत,75143
167,nncuz,आहेस,74195
168,anldnt,लवकर,74097
169,fjypcqn,तुमच्या,74078
170,dnthnt,करणार,73743
171,ondg,बाकी,72961
172,nzu,असे,72917
173,yu,मे,72639
174,onvc,बघ,72402
175,yncgfg,माहिती,71829
176,knhnt,जाणार,71803
177,dntnf,करत,70822
178,lt,वर,70358
179,ysthghv,मॉर्निंग,70196
180,ocnln,भावा,69535
181,osanf,बोलत,69228
182,hnl,नाव,69140
183,qufs,येतो,69010
184,ychjh,म्हणून,68960
185,fjig,तुझी,68033
186,oncut,बाहेर,66729
187,nnan,आला,66697
188,nzfu,असते,66475
189,hnhfnt,नंतर,66368
190,dnzn,कसा,65908
191,dng,काय,65810
192,kcna,झालं,65572
193,onhm,बंद,64996
194,y,म,64733
195,csga,होईल,64659
196,nv,अग,64622
197,rngzu,पैसे,64399
198,zcjoc,शुभ,64183
199,dntnh,कारण,64024
200,onon,बाबा,63512
201,tnv,राग,63488
202,znhvn,सांगा,63154
203,vuag,गेली,63093
204,rntnf,परत,62731
205,fng,ताई,62211
206,nnrnh,आपण,62074
207,dcnt,खरं,62010
208,a,ल,61566
209,dntfu,करते,61290
210,duag,केली,60966
211,ku,जे,60879
212,fupc,तेच,60469
213,kg,जी,60423
214,dcntpc,खरंच,59886
215,vtsjr,ग्रुप,59866
216,rnzjh,पासून,59727
217,dtj,करू,59650
218,nocghnhmnh,अभिनंदन,59613
219,nrnh,आपण,59368
220,du,के,59274
221,dncgpc,काहीच,59108
222,znvau,सगळे,58863
223,zcj,शुभेच्छा,58801
224,t,र,56974
225,kntn,जरा,56880
